id,name,version,size,category,description,icon,url,tags
hyapp,HYCarPlay,v1.10.4,5.87 MB,工具,需要搭配盒子使用,./icons/hyapp.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/Wwcp4ocj,
qishui,汽水音乐车机版,v1.0.9,37.23 MB,音乐,字节跳动比较火的音乐播放器,./icons/qishui.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/s0cpaU5i,
yingongguanjia,应用管家,v1.8.6,14.86 MB,工具,修复了文件下载&固定互传IP,./icons/yingongguanjia.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/Sjcp4ceR,
gaode,高德地图车机版,v9.1.0.600087,120.26 MB,导航,高德地图9.1.（6群车友修改）正式版,./icons/gaode.png,https://mapdownload.autonavi.com/apps/auto/manual/V910/Auto_9.1.0.600087_release_signed.apk?u=6af40970e8febd609ff1193f151501bc,必备
applemusic,Apple Music,v4.2.0,136.76 MB,音乐,Apple Music丨v4.9.5.11_大屏版,./icons/AppleMusic.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/cScH4AWv,热门
shuiguo,水果互联,v176,28.82 MB,工具,免费试用如需购买ukey请联系徐大兵wechat：554719247,./icons/shuiguo.jpg,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/FGcp4V5w,
qidongqi,启动器,v1.2.0,4.75 MB,工具,车机必装应用,./icons/qidongqi.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/BAcpaXaA,必备
lynktool,领克车机助手,v0.5.6,4.75 MB,工具,领克OSN车机助手(23款) v0.5.8-By.Cheter.Chao,./icons/lynktool.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/WSdz6013,最新
zhiquan,CarPlay26款03,v1.2.0,6.86 MB,工具,2026款03车机必装应用,./icons/zhiquan.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/21cH4guF,
qqmusic,QQ音乐车机版,v3.11.0.5,97.73 MB,音乐,QQ音乐车机版本,./icons/qqm.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/yIcHciO6,
gaode01,高德地图手机魔改版,v16.01.1.2018,165.38 MB,导航,高德地图手机魔改版,./icons/gaode.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/B6cHdXft,
xiaoba,领克驾驶动画切换,v1.0,135.61 MB,工具,群友@小八提供,./icons/xiaoba.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/nWcHdfVA,
es,ES文件浏览器,v4.4.2.8,58.42 MB,工具,VIP破解版,./icons/es.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/xxcHeMXt,
mt,MT管理器,v2.14.5,23.58 MB,工具,MT管理器，用于管理车机,./icons/mt.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/tfc9Gxms,
zk,小八智控大师,v1.6.3,7.97 MB,工具,小八智控大师，用于第三方APP方控,./icons/zhikong.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/Sm2rkIOS,
qishui01,汽水音乐车机免会员版,v1.0.10,45.86MB,音乐,来自车友分享,./icons/qishui.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/vedzeV3h,
bb,哔哩哔哩,v2.9.5,36.66MB,娱乐,领克900提取版本,./icons/bibi.png,https://lz0.qaiu.top/parser?url=https://share.feijipan.com/s/mUdz5jdB,
